"","k2.cluster"
"151460000171",1
"151460000172",1
"151460000173",1
"151460000174",1
"151460000175",1
"151460000176",1
"151460000177",1
"151460000178",1
"151460000179",1
"151460000180",1
"151460000181",1
"151460000182",1
"151460000183",1
"151460000184",1
"151460000185",1
"151460000186",1
"151460000187",1
"151460000188",1
"151460000189",1
"151460000190",1
"151460000191",1
"151460000192",1
"151460000193",1
"151460000194",1
"151460000195",1
"151460000196",1
"151460000197",1
"151460000198",1
"151460000199",1
"151460000200",1
"151460000201",1
"151460000202",1
"151460000203",1
"151460000204",1
"151460000205",1
"151460000206",1
"151460000207",1
"151460000208",1
"151460000209",1
"151460000210",1
"151460000211",1
"151460000212",1
"151460000213",1
"151460000214",1
"151460000215",1
"151460000216",1
"151460000217",1
"151460000218",1
"151460000219",1
"151460000220",1
"151460000221",2
"151460000222",1
"151460000223",1
"151460000224",1
"151460000225",1
"151460000226",1
"151460000227",1
"151460000228",1
"151460000229",2
"151460000230",1
"151460000231",1
"151460000232",2
"151460000233",1
"151460000234",2
"151460000235",2
"151460000236",1
"151460000237",1
"151460000238",1
"151460000239",1
"151460000240",1
"151460000241",1
"151460000242",1
"151460000243",1
"151460000244",1
"151460000245",2
"151460000246",1
"151460000247",1
"151460000248",1
"151460000249",1
"151460000250",1
"151460000251",1
"151460000252",1
"151460000253",1
"151460000254",1
"151460000255",1
"151460000256",1
"151460000257",1
"151460000258",1
"151460000259",1
"151460000260",1
"151460000261",1
"151460000262",1
"151460000263",1
"151460000264",1
"151460000265",1
"151460000266",1
"151460000267",1
"151460000268",1
"151460000269",1
"151460000270",1
"151460000271",1
"151460000272",1
"151460000273",1
"151460000274",1
"151460000275",1
"151460000276",1
"151460000277",1
"151460000278",1
"151460000279",2
"151460000280",2
"151460000281",1
"151460000282",1
"151460000283",2
"151460000284",2
"151460000285",2
"151460000286",1
"151460000287",2
"151460000288",1
"151460000289",1
"151460000290",2
"151460000291",2
"151460000292",2
"151460000293",1
"151460000294",1
"151460000295",1
"151460000296",1
"151460000297",1
"151460000298",1
"151460000299",1
"151460000300",2
"151460000301",2
"151460000302",2
"151460000303",2
"151460000304",2
"151460000305",2
"151460000306",2
"151460000307",2
"151460000308",2
"151460000309",1
"151460000310",2
"151460000311",2
"151460000312",2
"151460000313",2
"151460000314",2
"151460000315",2
"151460000316",2
"151460000317",2
"151460000318",2
"151460000319",2
"151460000320",2
"151460000321",2
"151460000322",2
"151460000323",2
"151460000324",2
"151460000325",2
"151460000326",2
"151460000327",2
"151460000328",2
"151460000329",2
"151460000330",2
"151460000331",2
"151460000332",2
"151460000333",2
"151460000334",2
"151460000335",2
"151460000336",2
"151460000337",2
"151460000338",2
"151460000339",2
"151460000340",2
"151460000341",1
"151460000342",2
"151460000343",1
"151460000344",2
"151460000345",1
"151460000346",1
"151460000347",2
"151460000348",2
"151460000349",2
"151460000350",2
"151460000351",2
"151460000352",2
"151460000353",2
"151460000354",2
"151460000355",2
"151460000356",1
"151460000357",2
"151460000358",2
"151460000359",2
"151460000360",2
"151460000361",1
"151460000362",1
"151460000363",1
"151460000364",1
"151460000365",1
"151460000366",1
"151460000367",1
"151460000368",1
"151460000369",1
"151460000370",1
"151460000371",1
"151460000372",1
"151460000373",1
"151460000374",1
"151460000375",1
"151460000376",1
"151460000377",1
"151460000378",1
"151460000379",1
"151460000380",1
"151460000381",1
"151460000382",1
"151460000383",1
"151460000384",1
"151460000385",1
"151460000386",1
"151460000387",1
"151460000388",1
"151460000389",1
"151460000390",1
"151460000391",1
"151460000392",1
"151460000393",1
"151460000394",1
"151460000395",1
"151460000396",1
"151460000397",1
"151460000398",1
"151460000399",1
"151460000400",1
"151460000401",1
"151460000402",1
"151460000403",1
"151460000404",1
"151460000405",1
"151460000406",1
"151460000407",1
"151460000408",1
"151460000409",1
"151460000410",1
"151460000411",1
"151460000412",1
"151460000413",1
"151460000414",1
"151460000415",1
"151460000416",1
"151460000417",1
"151460000418",1
"151460000419",1
"151460000420",1
"151460000421",1
"151460000422",1
"151460000423",1
"151460000424",1
"151460000425",1
"151460000426",1
"151460000427",2
"151460000428",2
"151460000429",2
"151460000430",2
"151460000431",1
"151460000432",2
"151460000433",1
"151460000434",2
"151460000435",2
"151460000436",1
"151460000437",1
"151460000438",1
"151460000439",1
"151460000440",1
"151460000441",1
"151460000442",1
"151460000443",1
"151460000444",1
"151460000445",1
"151460000446",1
"151460000447",1
"151460000448",1
"151460000449",1
"151460000450",1
"151460000451",1
"151460000452",1
"151460000453",1
"151460000454",2
"151460000455",2
"151460000456",2
"151460000457",2
"151460000458",2
"151460000459",2
"151460000460",2
"151460000461",2
"151460000462",2
"151460000463",2
"151460000464",2
"151460000465",2
"151460000466",1
"151460000467",2
"151460000468",2
"151460000469",2
"151460000470",2
"151460000471",1
"151460000472",1
"151460000473",1
"151460000474",1
"151460000475",1
"151460000476",2
"151460000477",1
"151460000478",1
"151460000479",1
"151460000480",1
"151460000481",1
"151460000482",1
"151460000483",1
"151460000484",1
"151460000485",1
"151460000486",1
"151460000487",1
"151460000488",1
"151460000489",1
"151460000490",1
"151460000491",1
"151460000492",1
"151460000493",1
"151460000494",1
"151460000495",1
"151460000496",1
"151460000497",1
"151460000498",2
"151460000499",2
"151460000500",1
"151460000501",1
"151460000502",1
"151460000503",1
"151460000504",1
"151460000505",1
"151460000506",1
"151460000507",1
"151460000508",1
"151460000509",1
"151460000510",1
"151460000511",1
"151460000512",1
"151460000513",1
"151460000514",1
"151460000515",1
"151460000516",1
"151460000517",1
"151460000518",1
"151460000519",1
"151460000520",1
"151460000521",1
"151460000522",1
"151460000523",1
"151460000524",1
"151460000525",1
"151460000526",1
"151460000527",1
"151460000528",1
"151460000529",1
"151460000530",1
"151460000531",1
"151460000532",1
"151460000533",1
"151460000534",1
"151460000535",1
"151460000536",1
"151460000537",1
"151460000538",1
"151460000539",1
"151460000540",1
"151460000541",1
"151460000542",1
"151460000543",1
"151460000544",1
"151460000545",1
"151460000546",1
"151460000547",1
"151460000548",1
"151460000549",1
"151460000550",1
"151460000551",1
"151460000552",1
"151460000553",1
"151460000554",1
"151460000555",1
"151460000556",1
"151460000557",1
"151460000558",1
"151460000559",1
"151460000560",1
"151460000561",1
"151460000562",2
"151460000563",1
"151460000564",2
"151460000565",2
"151460000566",2
"151460000567",1
"151460000568",1
"151460000569",1
"151460000570",1
"151460000571",1
"151460000572",1
"151460000573",1
"151460000574",1
"151460000575",1
"151460000576",1
"151460000577",1
"151460000578",1
"151460000579",1
"151460000580",1
"151460000581",1
"151460000582",1
"151460000583",1
"151460000584",1
"151460000585",1
"151460000586",1
"151460000587",1
"151460000588",2
"151460000589",2
"151460000590",2
"151460000591",2
"151460000592",2
"151460000593",2
"151460000594",1
"151460000595",1
"151460000596",2
"151460000597",2
"151460000598",2
"151460000599",2
"151460000600",2
"151460000601",2
"151460000602",2
"151460000603",2
"151460000604",1
"151460000605",1
"151460000606",1
"151460000607",1
"151460000608",1
"151460000609",1
"151460000610",1
"151460000611",1
"151460000612",1
"151460000613",1
"151460000614",1
"151460000615",1
"151460000616",1
"151460000617",1
"151460000618",1
"151460000619",1
"151460000620",1
"151460000621",2
"151460000622",2
"151460000623",2
"151460000624",2
"151460000625",2
"151460000626",2
"151460000627",2
"151460000628",2
"151460000629",2
"151460000630",2
"151460000631",2
"151460000632",2
"151460000633",2
"151460000634",1
"151460000635",1
"151460000636",1
"151460000637",1
"151460000638",1
"151460000639",1
"151460000640",1
"151460000641",1
"151460000642",1
"151460000643",1
"151460000644",1
"151460000645",2
"151460000646",1
"151460000647",2
"151460000648",2
"151460000649",2
"151460000650",2
"151460000651",2
"151460000652",1
"151460000653",1
"151460000654",1
"151460000655",2
"151460000656",2
"151460000657",2
"151460000658",2
"151460000659",1
"151460000660",1
"151460000661",2
"151460000662",2
"151460000663",2
"151460000664",2
"151460000665",2
"151460000666",2
"151460000667",2
"151460000668",2
"151460000669",2
"151460000670",2
"151460000671",2
"151460000672",2
"151460000673",2
"151460000674",2
"151460000675",2
"151460000676",2
"151460000677",2
"151460000678",2
"151460000679",2
"151460000680",2
"151460000681",2
"151460000682",2
"151460000683",2
"151460000684",2
"151460000685",2
"151460000686",2
"151460000687",2
"151460000688",2
"151460000689",2
"151460000690",2
"151460000691",2
"151460000692",2
"151460000693",2
"151460000694",2
"151460000695",2
"151460000696",2
"151460000697",1
"151460000698",1
"151460000699",1
"151460000700",1
"151460000701",1
"151460000702",1
"151460000703",1
"151460000704",1
"151460000705",1
"151460000706",1
"151460000707",1
"151460000708",1
"151460000709",1
"151460000710",1
"151460000711",1
"151460000712",1
"151460000713",1
"151460000714",1
"151460000715",1
"151460000716",2
"151460000717",1
"151460000718",1
"151460000719",2
"151460000720",2
"151460000721",2
"151460000722",2
"151460000723",1
"151460000724",1
"151460000725",2
"151460000726",2
"151460000727",2
"151460000728",2
"151460000729",2
"151460000730",2
"151460000731",1
"151460000732",2
"151460000733",2
"151460000734",2
"151460000735",2
"151460000736",2
"151460000737",2
"151460000738",2
"151460000739",2
"151460000740",2
"151460000741",2
"151460000742",2
"151460000743",2
"151460000744",2
"151460000745",2
"151460000746",2
"151460000747",2
"151460000748",2
"151460000749",2
"151460000750",2
"151460000751",2
"151460000752",2
"151460000753",2
"151460000754",2
"151460000755",2
"151460000756",2
"151460000757",2
"151460000758",2
"151460000759",2
"151460000760",2
"151460000761",2
"151460000762",2
"151460000763",2
"151460000764",2
"151460000765",2
"151460000766",2
"151460000767",2
"151460000768",2
"151460000769",2
"151460000770",2
"151460000771",2
"151460000772",2
"151460000773",2
"151460000774",2
"151460000775",2
"151460000776",2
"151460000777",2
"151460000778",2
"151460000779",2
"151460000780",2
"151460000781",2
"151460000782",2
"151460000783",2
"151460000784",2
"151460000785",2
"151460000786",2
"151460000787",2
"151460000788",2
"151460000789",2
"151460000790",2
"151460000791",2
"151460000792",2
"151460000793",2
"151460000794",2
"151460000795",2
"151460000796",2
"151460000797",2
"151460000798",2
"151460000799",2
"151460000800",2
"151460000801",2
"151460000802",2
"151460000803",2
"151460000804",2
"151460000805",2
"151460000806",2
"151460000807",2
"151460000808",2
"151460000809",2
"151460000810",2
"151460000811",2
"151460000812",2
"151460000813",2
"151460000814",2
"151460000815",2
"151460000816",2
"151460000817",2
"151460000818",2
"151460000819",2
"151460000820",2
"151460000821",2
"151460000822",2
"151460000823",2
"151460000824",2
"151460000825",2
"151460000826",2
"151460000827",2
"151460000828",2
"151460000829",2
"151460000830",2
"151460000831",2
"151460000832",2
"151460000833",2
"151460000834",2
"151460000835",2
"151460000836",2
"151460000837",2
"151460000838",2
"151460000839",2
"151460000840",2
"151460000841",2
"151460000842",2
"151460000843",2
"151460000844",2
"151460000845",2
"151460000846",2
"151460000847",2
"151460000848",2
"151460000849",2
"151460000850",2
"151460000851",2
"151460000852",2
"151460000853",2
"151460000854",2
"151460000855",2
"151460000856",1
"151460000857",2
"151460000858",2
"151460000859",2
"151460000860",1
"151460000861",1
"151460000862",1
"151460000863",2
"151460000864",2
"151460000865",1
"151460000866",1
"151460000867",1
"151460000868",1
"151460000869",1
"151460000870",1
"151460000871",1
"151460000872",1
"151460000873",1
"151460000874",1
"151460000875",1
"151460000876",1
"151460000877",1
"151460000878",1
"151460000879",1
"151460000880",1
"151460000881",1
"151460000882",1
"151460000883",1
"151460000884",1
"151460000885",1
"151460000886",1
"151460000887",1
"151460000888",1
"151460000889",1
"151460000890",1
"151460000891",1
"151460000892",1
"151460000893",2
"151460000894",2
"151460000895",1
"151460000896",1
"151460000897",2
"151460000898",1
"151460000899",1
"151460000900",1
"151460000901",1
"151460000902",1
"151460000903",1
"151460000904",1
"151460000905",1
"151460000906",1
"151460000907",1
"151460000908",1
"151460000909",1
"151460000910",1
"151460000911",1
"151460000912",1
"151460000913",1
"151460000914",1
"151460000915",1
"151460000916",1
"151460000917",2
"151460000918",2
"151460000919",2
"151460000920",2
"151460000921",2
"151460000922",2
"151460000923",2
"151460000924",2
"151460000925",2
"151460000926",2
"151460000927",2
"151460000928",2
"151460000929",2
"151460000930",1
"151460000931",1
"151460000932",1
"151460000933",1
"151460000934",1
"151460000935",1
"151460000936",2
"151460000937",2
"151460000938",2
"151460000939",2
"151460000940",2
"151460000941",1
"151460000942",1
"151460000943",1
"151460000944",2
"151460000945",2
"151460000946",2
"151460000947",2
"151460000948",2
"151460000949",2
"151460000950",2
"151460000951",2
"151460000952",2
"151460000953",2
"151460000954",2
"151460000955",2
"151460000956",2
"151460000957",2
"151460000958",2
"151460000959",2
"151460000960",2
"151460000961",2
"151460000962",2
"151460000963",2
"151460000964",2
"151460000965",2
"151460000966",2
"151460000967",2
"151460000968",2
"151460000969",2
"151460000970",2
"151460000971",2
"151460000972",2
"151460000973",2
"151460000974",2
"151460000975",2
"151460000976",2
"151460000977",2
"151460000978",2
"151460000979",2
"151460000980",2
"151460000981",2
"151460000982",2
"151460000983",2
"151460000984",2
"151460000985",2
"151460000986",2
"151460000987",2
"151460000988",2
"151460000989",2
"151460000990",2
"151460000991",2
"151460000992",2
"151460000993",2
"151460000994",2
"151460000995",2
"151460000996",2
"151460000997",2
"151460000998",2
"151460000999",2
"151460001000",2
"151460001001",2
"151460001002",2
"151460001003",2
"151460001004",2
"151460001005",2
"151460001006",2
"151460001007",2
"151460001008",2
"151460001009",2
"151460001010",2
"151460001011",2
"151460001012",2
"151460001013",2
"151460001014",2
"151460001015",2
"151460001016",2
"151460001017",2
"151460001018",2
"151460001019",2
"151460001020",2
"151460001021",2
"151460001022",2
"151460001023",2
"151460001024",2
"151460001025",2
"151460001026",2
"151460001027",2
"151460001028",2
"151460001029",2
"151460001030",2
"151460001031",2
"151460001032",2
"151460001033",2
"151460001034",2
"151460001035",2
"151460001036",2
"151460001037",2
"151460001038",1
"151460001039",1
"151460001040",1
"151460001041",1
"151460001042",1
"151460001043",1
"151460001044",2
"151460001045",2
"151460001046",2
"151460001047",2
"151460001048",1
"151460001049",2
"151460001050",2
"151460001051",2
"151460001052",2
"151460001053",2
"151460001054",2
"151460001055",2
"151460001056",2
"151460001057",2
"151460001058",2
"151460001059",2
"151460001060",2
"151460001061",2
"151460001062",2
"151460001063",2
"151460001064",2
"151460001065",2
"151460001066",2
"151460001067",2
"151460001068",2
"151460001069",2
"151460001070",2
"151460001071",2
"151460001072",2
"151460001073",2
"151460001074",2
"151460001075",2
"151460001076",2
"151460001077",2
"151460001078",2
"151460001079",2
"151460001080",2
"151460001081",2
"151460001082",2
"151460001083",2
"151460001084",2
"151460001085",2
"151460001086",2
"151460001087",2
"151460001088",2
"151460001089",2
"151460001090",2
"151460001091",2
"151460001092",2
"151460001093",2
"151460001094",2
"151460001095",2
"151460001096",2
"151460001097",2
"151460001098",2
"151460001099",2
"151460001100",2
"151460001101",2
"151460001102",2
"151460001103",2
"151460001104",2
"151460001105",2
"151460001106",2
"151460001107",2
"151460001108",2
"151460001109",2
"151460001110",2
"151460001111",2
"151460001112",2
"151460001113",2
"151460001114",2
"151460001115",2
"151460001116",2
"151460001117",2
"151460001118",2
"151460001119",2
"151460001120",2
"151460001121",2
"151460001122",2
"151460001123",2
"151460001124",2
"151460001125",2
"151460001126",2
"151460001127",2
"151460001128",2
"151460001129",2
"151460001130",2
"151460001131",2
"151460001132",2
"151460001133",2
"151460001134",2
"151460001135",2
"151460001136",2
"151460001137",2
"151460001138",2
"151460001139",2
"151460001140",2
"151460001141",2
"151460001142",2
"151460001143",2
"151460001144",2
"151460001145",2
"151460001146",2
"151460001147",2
"151460001148",2
"151460001149",2
"151460001150",2
"151460001151",2
"151460001152",2
"151460001153",2
"151460001154",2
"151460001155",2
"151460001156",2
"151460001157",2
"151460001158",2
"151460001159",2
"151460001160",2
"151460001161",2
"151460001162",2
"151460001163",2
"151460001164",2
"151460001165",2
"151460001166",2
"151460001167",2
"151460001168",2
"151460001169",2
"151460001170",2
"151460001171",2
"151460001172",2
"151460001173",2
"151460001174",2
"151460001175",2
"151460001176",2
"151460001177",2
"151460001178",2
"151460001179",2
"151460001180",2
"151460001181",2
"151460001182",2
"151460001183",2
"151460001184",2
"151460001185",2
"151460001186",2
"151460001187",2
"151460001188",2
"151460001189",2
"151460001190",2
"151460001191",2
"151460001193",2
"151460001194",2
"151460001195",2
"151460001196",2
"151460001197",2
"151460001198",2
"151460001199",2
"151460001200",2
"151460001201",1
"151460001202",1
"151460001203",1
"151460001204",1
"151460001205",1
"151460001206",1
"151460001207",2
"151460001208",2
"151460001209",2
"151460001210",2
"151460001211",1
"151460001212",1
"151460001213",2
"151460001214",2
"151460001215",1
"151460001216",1
"151460001217",1
"151460001218",1
"151460001219",1
"151460001220",1
"151460001221",1
"151460001222",1
"151460001223",1
"151460001224",1
"151460001225",1
"151460001226",1
"151460001227",1
"151460001228",1
"151460001229",1
"151460001230",1
"151460001231",1
"151460001232",1
"151460001233",1
"151460001234",1
"151460001235",1
"151460001236",1
"151460001237",1
"151460001238",1
"151460001239",1
"151460001240",1
"151460001241",1
"151460001242",1
"151460001243",2
"151460001244",1
"151460001245",2
"151460001246",2
"151460001247",2
"151460001248",2
"151460001249",1
"151460001250",1
"151460001251",2
"151460001252",2
"151460001253",2
"151460001254",2
"151460001255",2
"151460001256",2
"151460001257",2
"151460001258",2
"151460001259",2
"151460001261",2
"151460001262",2
"151460001263",2
"151460001264",2
"151460001265",2
"151460001266",2
"151460001267",2
"151460001268",2
"151460001269",2
"151460001270",2
"151460001271",2
"151460001272",2
"151460001273",2
"151460001274",2
"151460001275",2
"151460001276",2
"151460001277",2
"151460001278",2
"151460001279",2
"151460001280",2
"151460001281",2
"151460001282",2
"151460001283",2
"151460001284",2
"151460001285",2
"151460001286",2
"151460001287",2
"151460001288",2
"151460001289",2
"151460001290",2
"151460001291",2
"151460001292",2
"151460001293",2
"151460001294",2
"151460001295",2
"151460001296",2
"151460001297",2
"151460001298",2
"151460001299",2
"151460001300",2
"151460001301",2
"151460001302",2
"151460001303",2
"151460001304",2
"151460001305",2
"151460001306",2
"151460001307",2
"151460001308",2
"151460001309",2
"151460001310",2
"151460001311",2
"151460001312",2
"151460001313",2
"151460001314",2
"151460001315",2
"151460001316",2
"151460001317",2
"151460001318",2
"151460001319",2
"151460001320",2
"151460001321",2
"151460001322",2
"151460001323",2
"151460001324",2
"151460001325",2
"151460001326",2
"151460001327",2
"151460001328",2
"151460001329",2
"151460001330",2
"151460001331",2
"151460001332",2
"151460001333",2
"151460001334",2
"151460001335",2
"151460001336",2
"151460001337",2
"151460001338",2
"151460001339",2
"151460001340",2
"151460001341",2
"151460001342",2
"151460001343",2
"151460001344",2
"151460001345",2
"151460001346",2
"151460001347",2
"151460001348",2
"151460001349",2
"151460001350",2
"151460001351",2
"151460001352",2
"151460001353",2
"151460001354",1
"151460001355",2
"151460001356",2
"151460001357",2
"151460001358",2
"151460001359",2
"151460001360",2
"151460001361",2
"151460001362",2
"151460001363",2
"151460001364",2
"151460001365",2
"151460001366",2
"151460001367",2
"151460001368",2
"151460001369",2
"151460001370",2
"151460001371",2
"151460001372",2
"151460001373",2
"151460001374",2
"151460001375",2
"151460001376",2
"151460001377",2
"151460001378",2
"151460001379",2
"151460001380",2
"151460001381",2
"151460001382",2
"151460001383",2
"151460001384",1
"151460001385",1
"151460001386",2
"151460001387",2
"151460001388",2
"151460001389",2
"151460001390",2
"151460001391",2
"151460001392",2
"151460001393",2
"151460001394",2
"151460001395",2
"151460001396",2
"151460001397",2
"151460001398",2
"151460001399",2
"151460001400",2
"151460001401",2
"151460001402",2
"151460001403",2
"151460001404",2
"151460001405",2
"151460001406",2
"151460001407",2
"151460001408",2
"151460001409",2
"151460001410",2
"151460001411",2
"151460001412",2
"151460001413",2
"151460001414",1
"151460001415",1
"151460001416",1
"151460001417",1
"151460001418",2
"151460001419",2
"151460001420",2
"151460001421",2
"151460001422",2
"151460001423",2
"151460001424",2
"151460001425",2
"151460001426",2
"151460001427",2
"151460001428",2
"151460001429",2
"151460001430",2
"151460001431",2
"151460001432",2
"151460001433",2
"151460001434",2
"151460001435",2
"151460001436",2
"151460001437",2
"151460001438",2
"151460001439",2
"151460001440",2
"151460001441",2
"151460001442",2
"151460001443",2
"151460001444",2
"151460001445",2
"151460001446",2
"151460001447",2
"151460001448",2
"151460001449",2
"151460001450",2
"151460001451",2
"151460001452",2
"151460001453",2
"151460001454",2
"151460001455",2
"151460001456",2
"151460001457",2
"151460001458",2
"151460001459",2
"151460001460",2
"151460001461",2
"151460001462",2
"151460001463",2
"151460001464",2
"151460001465",2
"151460001466",2
"151460001467",2
"151460001468",2
"151460001469",2
"151460001470",2
"151460001471",2
"151460001472",2
"151460001473",2
"151460001474",2
"151460001475",2
"151460001476",2
"151460001477",1
"151460001478",2
"151460001479",2
"151460001480",2
"151460001481",2
"151460001482",2
"151460001483",2
"151460001484",2
"151460001485",2
"151460001486",2
"151460001487",2
"151460001488",2
"151460001489",2
"151460001490",2
"151460001491",2
"151460001492",2
"151460001493",2
"151460001494",2
"151460001495",2
"151460001496",2
"151460001497",2
"151460001498",2
"151460001499",2
"151460001500",1
"151460001501",2
"151460001502",1
"151460001503",1
"151460001504",2
"151460001505",2
"151460001506",2
"151460001507",1
"151460001508",1
"151460001509",2
"151460001510",2
"151460001511",2
"151460001512",2
"151460001513",2
"151460001514",2
"151460001515",2
"151460001516",2
"151460001517",2
"151460001518",2
"151460001519",2
"151460001520",1
"151460001521",1
"151460001522",1
"151460001523",1
"151460001524",2
"151460001525",2
"151460001526",2
"151460001527",2
"151460001528",2
"151460001529",2
"151460001530",2
"151460001531",2
"151460001532",2
"151460001533",2
"151460001534",1
"151460001535",2
"151460001536",2
"151460001537",2
"151460001538",2
"151460001539",2
"151460001540",2
"151460001541",2
"151460001542",1
"151460001543",1
"151460001544",1
"151460001545",2
"151460001546",2
"151460001547",2
"151460001548",2
"151460001549",2
"151460001550",2
"151460001551",2
"151460001552",2
"151460001553",2
"151460001554",2
"151460001555",2
"151460001556",2
"151460001557",2
"151460001558",2
"151460001559",2
"151460001560",2
"151460001561",2
"151460001562",2
"151460001563",2
"151460001564",2
"151460001565",2
"151460001566",2
"151460001567",2
"151460001568",2
"151460001569",2
"151460001570",2
"151460001571",2
"151460001572",2
"151460001573",2
"151460001574",2
"151460001575",2
"151460001576",2
"151460001577",2
"151460001578",2
"151460001579",2
"151460001580",2
"151460001581",2
"151460001582",2
"151460001583",2
"151460001584",2
"151460001585",2
"151460001586",2
"151460001587",2
"151460001588",2
"151460001589",2
"151460001590",2
"151460001591",2
"151460001592",1
"151460001593",1
"151460001594",1
"151460001595",2
"151460001596",2
"151460001597",2
"151460001598",2
"151460001599",2
"151460001600",2
"151460001601",2
"151460001602",1
"151460001603",2
"151460001604",2
"151460001605",2
"151460001606",2
"151460001607",2
"151460001608",2
"151460001609",2
"151460001610",2
"151460001611",2
"151460001612",1
"151460001613",1
"151460001614",2
"151460001615",2
"151460001616",2
"151460001617",2
"151460001618",2
"151460001619",2
"151460001620",2
"151460001621",2
"151460001622",2
"151460001623",2
"151460001624",2
"151460001625",2
"151460001626",2
"151460001627",2
"151460001628",2
"151460001629",2
"151460001630",2
"151460001631",1
"151460001632",2
"151460001633",2
"151460001634",1
"151460001635",1
"151460001636",2
"151460001637",1
"151460001638",1
"151460001639",1
"151460001640",1
"151460001641",1
"151460001642",1
"151460001643",1
"151460001644",1
"151460001645",1
"151460001646",1
"151460001647",2
"151460001648",1
"151460001649",1
"151460001650",1
"151460001651",1
"151460001652",1
"151460001653",1
"151460001654",1
"151460001655",1
"151460001656",2
"151460001657",2
"151460001658",2
"151460001659",2
"151460001660",2
"151460001661",2
"151460001662",2
"151460001663",2
"151460001664",2
"151460001665",2
"151460001666",1
"151460001667",1
"151460001668",1
"151460001669",1
"151460001670",1
"151460001671",1
"151460001672",1
"151460001673",2
"151460001674",1
"151460001675",1
"151460001676",2
"151460001677",2
"151460001678",2
"151460001679",2
"151460001680",1
"151460001681",2
"151460001682",2
"151460001683",2
"151460001684",2
"151460001685",2
"151460001686",2
"151460001687",2
"151460001688",2
"151460001689",2
"151460001690",2
"151460001691",2
"151460001692",2
"151460001693",2
"151460001694",2
"151460001695",2
"151460001696",2
"151460001697",2
"151460001698",2
"151460001699",2
"151460001700",2
"151460001701",2
